study,es,hat,rstudent,cook_d,comparison
25,0.3731181026825044,0.0034569602422623194,0.7996420786457397,0.0022262406481925226,Strong Synergy
26,-0.8002995587517141,0.0033180180178285948,-0.23533568633436208,0.00018759399589303704,Strong Synergy
26,0.2148172499807235,0.0033495800396437956,0.6490383531675631,0.0014185920821168495,Strong Synergy
26,1.0168572915140686,0.0032974454552556396,1.3381244827089427,0.005962607125833872,Strong Synergy
28,-1.3046265380939932,0.0038081513240244623,-0.7211937613036553,0.0020888647902009717,Strong Synergy
28,-1.4331695681468462,0.003806838816482275,-0.8406068046886844,0.0027967594807001717,Strong Synergy
28,-1.4816385729655654,0.003806312173312356,-0.8856188175590026,0.0030895486922300113,Strong Synergy
28,-1.354298569579781,0.003807658645401877,-0.7673441022630072,0.0023505630615312818,Strong Synergy
28,-1.227070317915102,0.003808884003065256,-0.6491211147742596,0.0017102702463237527,Strong Synergy
28,-1.5731047578763997,0.003805271058132246,-0.9705382603015177,0.0036804320007989685,Strong Synergy
28,-1.3582839141684475,0.0038076183241754547,-0.7710465510897533,0.0023722079551892023,Strong Synergy
28,-1.2674029077879223,0.003808508545270647,-0.686604243672084,0.0019025777690308836,Strong Synergy
29,-1.412818126209333,0.003671737814755252,-0.8069691393701822,0.0024276343978278446,Strong Synergy
29,-0.9276165551445138,0.0036708551598377544,-0.36379573748794375,0.0005019943419337331,Strong Synergy
31,2.0023678925561974,0.00283102867011673,2.0302064605563146,0.01177302432540019,Strong Synergy
31,0.80329350336379,0.002833570027047054,1.0690935101439734,0.0032602975236401817,Strong Synergy
31,-2.803315049578685,0.0026479294160911978,-1.7637299558622808,0.008268656300093569,Strong Synergy
31,-0.146070856193857,0.0028883933893782215,0.31037289700741555,0.000278583543433903,Strong Synergy
31,0.5018990458449288,0.003280597957563073,0.8901509729626063,0.002618472486503443,Strong Synergy
31,0.6352754327558274,0.003190557025715921,0.9913996594275818,0.0031596781712716947,Strong Synergy
31,1.5056971375347812,0.0031713759398144994,1.7272142295580921,0.009559006253869557,Strong Synergy
31,1.284200983566959,0.0031120748340921997,1.524753402320741,0.0073024163322968514,Strong Synergy
31,-0.9062996486526144,0.0036317189652048678,-0.3424891395831272,0.0004387747692162922,Strong Synergy
31,-0.3270083493852979,0.003610294844035449,0.1831380799775851,0.00011806067123685063,Strong Synergy
31,-0.3884141351368338,0.003646007548504419,0.12815720754873494,5.6942694222546085e-05,Strong Synergy
31,-0.2042883620878951,0.0036117900553817696,0.2943362068134313,0.0003096128429512454,Strong Synergy
31,2.807413365424757,0.003487795527349447,2.9700141051598625,0.031423399515469234,Strong Synergy
31,1.9620500963117968,0.003526492465682287,2.229807611346306,0.01786450506560067,Strong Synergy
31,2.5914584911613145,0.003510771369231029,2.786922782768251,0.027852638231009322,Strong Synergy
31,1.9620500963117968,0.003526492465682287,2.229807611346306,0.01786450506560067,Strong Synergy
34,0.159477880996698,0.003591026762062521,0.6220412549477465,0.0013952825768116428,Strong Synergy
34,-0.3245736044790704,0.0035886690182153325,0.18478708392003496,0.00011982820099993613,Strong Synergy
40,-0.9044750475836716,0.0030191653220833095,-0.31076171517757883,0.00029542005949652437,Strong Synergy
40,-0.8102848652039804,0.003031086090920187,-0.2332158673933081,0.00016746446945804599,Strong Synergy
40,0.2247491638795988,0.0030766684841318816,0.6303392293129262,0.0012286542216466245,Strong Synergy
40,0.8593080801054194,0.00302503336553027,1.1510565947055846,0.004038470786945586,Strong Synergy
40,-1.4958447793878358,0.0029182970153586907,-0.7870268265717568,0.0018213764837857155,Strong Synergy
40,0.4878294856595795,0.0030624230007269895,0.8483071107064772,0.0022179828229722236,Strong Synergy
41,-1.7696521394545883,0.003610029325620714,-1.1233020480584908,0.004594038503996405,Strong Synergy
41,-0.2171470350854974,0.0037622207266978344,0.2885156993297237,0.0002999043248380845,Strong Synergy
42,-1.6691949733287963,0.003779278411907577,-1.0562519620832864,0.004280211232786367,Strong Synergy
42,-1.3112520102811769,0.003792522633754815,-0.7258620437496569,0.002078401148431144,Strong Synergy
44,0.1738836674954409,0.0029894512692852752,0.5794234307366758,0.0010082710699852522,Strong Synergy
44,1.298586382666733,0.002858323305826387,1.4728611213904128,0.006249483890453389,Strong Synergy
48,0.2219581567757582,0.0033494128395556567,0.655251041744606,0.0014459081244383087,Strong Synergy
49,0.0017687872652441,0.0037033865227587247,0.4870442996853607,0.0008746652989220159,Strong Synergy
52,-2.3997986014659065,0.0026949330787658307,-1.4635908541542004,0.005799758527945679,Strong Synergy
52,-1.5413486092222055,0.0029088350984595125,-0.8227395691563012,0.001983548461238295,Strong Synergy
52,-0.92044392613228,0.0030170244344835295,-0.32387167269114847,0.00032054073774088435,Strong Synergy
53,-3.0178272184010475,0.003341535073043294,-2.168202605695897,0.01574199454289286,Strong Synergy
53,0.8205843986877037,0.003571999672713444,1.2159160429134337,0.005347304768679554,Strong Synergy
54,0.0099496175153348,0.003080522019550413,0.4510461706148172,0.0006287510492452799,Strong Synergy
54,0.267036855019104,0.0030750816276749952,0.6655206038993478,0.001369285960661722,Strong Synergy
54,0.1488640127839393,0.003078834472756339,0.5670977536344834,0.0009946498833272633,Strong Synergy
55,-1.4257866626192528,0.003285555518707055,-0.7745570199182279,0.001989752094080098,Strong Synergy
55,-0.6859371432640022,0.0033616882090331604,-0.136940351056272,6.512256773507276e-05,Strong Synergy
55,-1.8412784821204573,0.0032221539802041914,-1.1225217544120885,0.004088285986214112,Strong Synergy
57,-1.7107509777189074,0.0033415496767964133,-1.0294067666174422,0.0035689404410212556,Strong Synergy
