excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
9,277,-0.528116547390294,0.06685369913653955,-0.6591497976979115,-0.39708329708267653,2.886579864025407e-15,98.41417676697607,Strong Synergy
14,277,-0.5311671929891911,0.0665047099628581,-0.661516424516393,-0.4008179614619892,1.3322676295501878e-15,98.4125612195899,Strong Synergy
14,277,-0.5326393857390842,0.06646386430568803,-0.6629085597782327,-0.4023702116999357,1.1102230246251565e-15,98.41057998366385,Strong Synergy
14,277,-0.5329275578483887,0.06645453446100345,-0.6631784453919555,-0.402676670304822,1.1102230246251565e-15,98.41022288141194,Strong Synergy
14,277,-0.5325056068853247,0.06646816229130739,-0.6627832049762872,-0.40222800879436216,1.1102230246251565e-15,98.4108693562554,Strong Synergy
20,277,-0.5231768066874989,0.06636385946929144,-0.6532499712473101,-0.39310364212768767,3.1086244689504383e-15,98.39903563515438,Strong Synergy
20,277,-0.5219225269925346,0.06621507825305649,-0.6517040803685253,-0.3921409736165439,3.1086244689504383e-15,98.39242622584827,Strong Synergy
20,277,-0.5239839435324292,0.06645458152456735,-0.6542349233205812,-0.39373296374427713,3.1086244689504383e-15,98.40314824665175,Strong Synergy
27,277,-0.528176130237422,0.06659421988497984,-0.6587008012119825,-0.3976514592628616,2.220446049250313e-15,98.41417604202066,Strong Synergy
27,277,-0.5266657476466258,0.06656529450180208,-0.6571337248701579,-0.3961977704230937,2.4424906541753444e-15,98.41338257227834,Strong Synergy
27,277,-0.5282124373431533,0.06656403951989354,-0.6586779548021446,-0.39774691988416194,1.9984014443252818e-15,98.41417671730684,Strong Synergy
68,277,-0.5365851237625676,0.06626675343650439,-0.6664679604981162,-0.40670228702701905,6.661338147750939e-16,98.4004645577527,Strong Synergy
69,277,-0.5304515592988406,0.06647318867878863,-0.6607390091092663,-0.40016410948841485,1.5543122344752192e-15,98.41394537290678,Strong Synergy
69,277,-0.5348166596281152,0.06643425538196314,-0.6650278001767629,-0.40460551907946746,8.881784197001252e-16,98.41219652366647,Strong Synergy
69,277,-0.5316182805371061,0.06646652728785528,-0.6618926740213025,-0.4013438870529098,1.3322676295501878e-15,98.41361296588141,Strong Synergy
69,277,-0.5334814892674121,0.06644955575414564,-0.6637226185455376,-0.40324035998928665,8.881784197001252e-16,98.41284635477011,Strong Synergy
72,277,-0.5289076345534806,0.06659832427583674,-0.6594403501341206,-0.39837491897284055,1.9984014443252818e-15,98.41400209057657,Strong Synergy
72,277,-0.5243056109167392,0.06647923308249608,-0.6546049077584315,-0.39400631407504694,3.1086244689504383e-15,98.40942520091942,Strong Synergy
